year,week,Ajdovščina,Brežice,Celje,Cerknica,Črnomelj,Domžale,Dravograd,Gornja Radgona,Grosuplje,Hrastnik,Idrija,Ilirska Bistrica,Izola,Jesenice,Kamnik,Kočevje,Koper,Kranj,Krško,Laško,Lenart,Lendava,Litija,Ljubljana,Ljutomer,Logatec,Maribor,Metlika,Mozirje,Murska Sobota,Nova Gorica,Novo mesto,Ormož,Pesnica,Piran,Postojna,Ptuj,Radlje ob Dravi,Radovljica,Ravne na Koroškem,Ribnica,Ruše,Šentjur pri Celju,Sevnica,Sežana,Škofja Loka,Slovenj Gradec,Slovenska Bistrica,Slovenske Konjice,Šmarje pri Jelšah,Tolmin,Trbovlje,Trebnje,Tržič,Velenje,Vrhnika,Zagorje ob Savi,Žalec
2010,34,1,9,13,3,2,2,1,1,2,0,2,2,8,14,2,2,3,16,4,2,0,5,1,66,4,0,39,3,3,11,14,14,2,4,1,1,14,2,7,1,2,0,2,5,2,3,6,1,3,4,5,10,1,1,6,0,2,2
2010,35,3,3,24,2,1,7,0,4,6,1,3,1,9,4,3,2,2,17,4,3,1,2,2,76,6,3,35,0,2,22,11,14,2,0,0,1,4,0,2,2,3,1,3,5,3,3,7,6,2,2,1,3,2,2,12,0,1,5
2010,36,2,9,16,3,0,6,1,1,2,1,3,2,10,12,3,1,5,18,2,4,1,3,0,80,2,3,45,2,2,21,8,15,0,1,1,5,13,2,7,2,2,2,2,2,6,2,9,2,1,4,4,9,2,3,8,2,0,6
2010,37,1,8,23,3,0,3,2,1,5,0,2,6,10,12,2,0,2,16,3,4,5,3,0,82,2,3,34,1,0,20,16,13,2,2,0,5,11,1,1,2,0,0,3,2,2,4,8,3,1,7,5,4,0,1,13,3,4,2
2010,38,2,19,28,1,1,2,1,1,1,0,2,2,10,17,3,5,3,15,2,2,2,2,1,72,1,1,46,5,4,31,9,18,2,3,2,5,13,5,12,4,1,1,0,2,4,5,13,1,4,1,2,4,2,1,10,2,2,4
2010,39,2,8,16,1,1,7,2,3,1,0,2,6,15,13,2,0,4,16,3,1,2,1,2,82,2,1,29,2,6,21,11,17,1,2,3,0,10,2,8,1,0,1,2,1,6,3,12,3,3,2,4,4,1,1,12,2,2,3
2010,40,3,7,20,2,2,3,0,0,6,2,2,1,17,9,5,1,2,7,3,2,3,6,0,72,3,2,39,1,0,17,9,13,1,0,4,0,11,1,2,3,1,1,5,3,4,0,17,6,0,6,2,5,0,4,12,2,0,4
2010,41,5,7,28,4,1,5,3,4,2,0,5,1,16,8,4,2,4,12,1,0,1,2,2,74,2,0,49,2,2,15,13,18,2,0,1,6,15,1,1,3,2,2,1,3,5,3,6,4,3,2,4,5,2,0,13,1,1,3
2010,42,2,4,24,2,5,6,1,0,3,1,1,7,14,9,4,1,5,11,1,2,5,6,1,83,3,0,32,4,3,18,21,19,1,1,5,4,21,0,0,3,0,1,2,3,2,5,14,2,1,4,4,7,2,2,18,4,2,2
2010,43,1,9,27,1,2,8,1,4,5,0,2,1,10,5,2,2,4,15,1,5,4,3,1,85,1,0,42,1,1,22,20,13,4,0,3,4,11,0,1,0,1,3,1,4,7,3,5,5,0,5,5,11,3,0,18,4,4,1
2010,44,5,9,18,3,4,3,2,3,3,1,3,2,8,9,5,3,3,14,0,5,3,3,0,76,1,1,46,1,4,24,20,16,3,2,0,1,12,2,1,2,1,1,1,0,3,5,11,3,0,2,3,6,1,0,8,2,1,4
