week,daily.deceased.2020,mean,min,max,daily.covid,excess,covid
1,66.4,65.73571428571428,-8.915571009453426,7.573617298706936,NA,1.0105400412909082,NA
2,62.857142857142854,67.91428571428571,-11.022297013041637,17.374842238115274,NA,-7.446360959192255,NA
3,63,68.74285714285715,-13.757273482959276,25.103906899418106,NA,-8.354114713216966,NA
4,67.28571428571429,70.25714285714285,-10.126067507116709,20.170801138674264,NA,-4.229361529076847,NA
5,69.71428571428571,72.37142857142857,-10.580339518357684,22.187129885511258,NA,-3.671535728385311,NA
6,66.57142857142857,68.05714285714286,-8.690176322418141,14.399664147774981,NA,-2.183039462636449,NA
7,74,68.82857142857144,-8.468244084682453,6.060606060606055,NA,7.513491075134904,NA
8,65.14285714285714,67.11428571428571,-8.471690080885475,4.51255853554704,NA,-2.937420178799499,NA
9,62.857142857142854,68.08571428571429,-6.630297943768371,9.735627360469978,0,-7.679395719681081,0
10,62.142857142857146,60.34285714285714,-9.327651515151514,11.979166666666675,0,2.9829545454545636,0
11,65.71428571428571,65,-8.571428571428562,8.351648351648343,0.14285714285714285,1.098901098901095,0.21978021978021978
12,65.28571428571429,62.2,-6.7524115755627,3.8125861276986583,0,4.960955443270554,0
13,57.285714285714285,62.68571428571428,-11.804922515952597,8.477666362807668,1.4285714285714286,-8.614402917046494,2.27894257064722
14,56.714285714285715,59.885714285714286,-9.589694656488545,11.164122137404586,2.4285714285714284,-5.295801526717558,4.055343511450381
15,62.42857142857143,55,-8.311688311688304,14.805194805194821,3.5714285714285716,13.506493506493511,6.493506493506494
16,64.28571428571429,59.34285714285714,-3.7072701011073628,5.681271064034665,3,8.329321136254219,5.055368319691864
17,57.42857142857143,56.65714285714286,-6.70700958144227,3.6308623298033194,1.1428571428571428,1.3615733736762392,2.0171457387796266
18,52.42857142857143,54.31428571428571,-4.5239347711730655,6.52288269331931,2,-3.471856917411875,3.682272488164125
19,55.42857142857143,53.714285714285715,-1.5957446808510745,1.0638297872340496,0.8571428571428571,3.1914893617021267,1.5957446808510638
20,52.57142857142857,52.65714285714286,-8.301682040151926,9.875203472599026,0.2857142857142857,-0.16277807921867282,0.5425935973955507
21,59,52.885714285714286,-9.778498109130195,11.291193949216627,0.42857142857142855,11.561318206374938,0.8103727714748784
22,48,52.57142857142857,-6.521739130434778,7.880434782608692,0.14285714285714285,-8.695652173913038,0.2717391304347826
23,50.714285714285715,51.714285714285715,-8.563535911602216,4.143646408839774,0.14285714285714285,-1.9337016574585641,0.2762430939226519
24,55.142857142857146,50.68571428571429,-2.4802705749718212,1.465614430665152,0,8.79368658399098,0
25,55,51.82857142857143,-5.733186328555684,5.843439911797121,0,6.11907386990076,0
26,59.714285714285715,48.42857142857143,-6.4896755162241915,4.71976401179941,0.2857142857142857,23.303834808259595,0.5899705014749261
27,54.285714285714285,52.77142857142857,-9.04168922577152,10.178668110449385,0,2.8695181375202994,0
28,48,51.34285714285714,-7.623817473567051,8.235948803561488,0,-6.510851419031716,0
29,51.285714285714285,53.142857142857146,-11.290322580645162,7.526881720430101,0.14285714285714285,-3.4946236559139865,0.26881720430107525
30,54.57142857142857,55.08571428571428,-10.529045643153523,9.439834024896276,0.5714285714285714,-0.9336099585062207,1.0373443983402488
31,57.857142857142854,52.65714285714286,-8.301682040151926,12.316874660879007,0.5714285714285714,9.875203472599026,1.0851871947911014
32,54.857142857142854,51.94285714285714,-8.965896589658973,11.386138613861373,1,5.610561056105601,1.925192519251925
33,57.142857142857146,53,-4.582210242587603,5.929919137466322,0.2857142857142857,7.81671159029651,0.5390835579514824
34,52,53.25714285714286,-3.9699570815450613,5.418454935622319,0.2857142857142857,-2.3605150214592308,0.5364806866952789
35,50.285714285714285,53.542857142857144,-5.816435432230527,4.8559231590181495,0.2857142857142857,-6.083244397011745,0.5336179295624333
36,55.857142857142854,50.285714285714285,-5.681818181818176,7.102272727272729,0.2857142857142857,11.079545454545459,0.5681818181818182
37,57.857142857142854,53.285714285714285,-13.672922252010721,9.919571045576415,0,8.579088471849872,0
38,61.42857142857143,53.91428571428571,-5.670376258611554,6.25331213566509,1,13.937466878643367,1.8547959724430314
39,52,52.25714285714286,-11.15363586659377,8.255877528704204,0.7142857142857143,-0.49207217058502284,1.366867140513942
40,59.57142857142857,55.22857142857143,-7.656492498706669,5.53543714433522,1.2857142857142858,7.863424728401447,2.3279875840662183
41,60.142857142857146,57.05714285714286,-2.3535302954431625,3.154732098147206,1.5714285714285714,5.408112168252388,2.7541311967951927
42,64.14285714285714,55.34285714285714,-3.200826019617964,2.994321115126497,3,15.90087764584409,5.420753742901394
43,74.57142857142857,56.74285714285714,-9.869083585095662,8.257804632427002,7.571428571428571,31.41993957703928,13.343403826787512
44,86.14285714285714,55.142857142857146,-10.103626943005196,10.621761658031081,17.428571428571427,56.21761658031086,31.606217616580306
45,89.71428571428571,55.48571428571429,-7.31204943357363,3.2440782698249127,27.285714285714285,61.68898043254376,49.1761071060762
46,105.71428571428571,57.48571428571429,-3.5785288270377746,3.379721669980129,34.714285714285715,83.89662027833,60.387673956262425
47,104.57142857142857,55.17142857142857,-2.382185396167791,4.091144484722942,36.42857142857143,89.53909891248057,66.02796478508546
48,110,55.628571428571426,-4.725218284540311,9.655880842321519,47.42857142857143,97.74011299435028,85.25937339496662
49,98.71428571428571,59.285714285714285,-7.71084337349397,8.192771084337336,51.42857142857143,66.50602409638553,86.74698795180723
50,NA,60.457142857142856,-14.697542533081286,8.223062381852554,45.57142857142857,NA,75.37807183364839
